Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S29276600025,11/23/2015,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,POINT (-91.565517 41.672672),52,Johnson,1011300,TENNESSEE WHISKIES,85,Brown-Forman Corporation,86692,Jack Daniel's Tennessee Fire,12,750,15.07,22.61,3,67.83,2.25,0.59
S24747000010,03/26/2015,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,POINT (-93.664182 41.586319),77,Polk,1042100,IMPORTED DRY GINS,35,"Bacardi U.S.A., Inc.",28206,Bombay Dry Gin,12,750,9.75,15.00,12,180.00,9.00,2.38
S21522200017,10/01/2014,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,POINT (-90.705328 42.491862),31,Dubuque,1011100,BLENDED WHISKIES,65,Jim Beam Brands,25878,Sunny Brook Blend Whiskey,6,"1,750",7.87,11.81,6,70.86,10.50,2.77
S09620400165,12/20/2012,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,,77,Polk,1041100,AMERICAN DRY GINS,434,Luxco-St Louis,31654,Paramount Gin,24,375,1.99,2.98,6,17.88,2.25,0.59
S22045900012,10/28/2014,4660,Hill Brothers Jiffy Mart / Cedar Rap,"1904, MT VERNON RD SE",CEDAR RAPIDS,52403,POINT (-91.642561 41.977226),57,Linn,1022100,TEQUILA,395,Proximo,87509,1800 Silver Tequila,12,375,8.96,13.44,6,80.64,2.25,0.59
S11723800112,04/18/2013,4129,Cyclone Liquors,626 LINCOLN WAY,AMES,50010,POINT (-93.618911 42.022854),85,Story,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43121,Bacardi Superior Rum Mini,12,500,4.74,7.11,2,14.22,1.00,0.26
S06724700011,07/23/2012,4190,Fareway Stores #888 / Jefferson,1207 N ELM ST,JEFFERSON,50129,POINT (-94.377667 42.026833),37,Greene,1012200,SCOTCH WHISKIES,495,"M.S. Walker, Inc.",9078,Mc Gregor's Scotch,6,"1,750",10.52,15.78,3,47.34,5.25,1.39
S16287400015,12/16/2013,4153,Fareway Stores #067 / Evansdale,215 S EVANS RD,EVANSDALE,50707,POINT (-92.287834 42.475631),07,Black Hawk,1031080,VODKA 80 PROOF,297,Laird And Company,35918,Five O'clock Vodka,6,"1,750",7.20,10.79,18,194.22,31.50,8.32
S04258000021,02/27/2012,4257,Broadway Liquor,821 BROADWAY,WATERLOO,50703,POINT (-92.345144 42.513772),07,Black Hawk,1022100,TEQUILA,395,Proximo,89198,Jose Cuervo Especial Reposado Tequila,6,"1,750",20.25,30.37,2,60.74,3.50,0.92
S21271100044,09/17/2014,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,POINT (-93.619787 41.60566),77,Polk,1031200,VODKA FLAVORED,260,Diageo Americas,77847,Smirnoff Vanilla,12,750,8.25,12.38,2,24.76,1.50,0.40
